"","domain","tote_seite","catkey","category"
"110","hiebsch-online.de",NA,"P01100","P"
"111","schriever.gmxhome.de",NA,"P01100","P"
"112","marcploechl.info",NA,"P01100","P"
"113","ellrich-schumann.de",NA,"P01100","P"
"114","holgermuench.de",NA,"P01100","P"
"115","harry-kirsch.de",NA,"P01100","P"
"116","cosmann.net",NA,"P01100","P"
"117","sduevel.de",NA,"P01100","P"
"118","klaus-adamhuber.de",NA,"P01100","P"
"119","adunka.de",NA,"P01100","P"
"120","anton-bader.de",NA,"P01100","P"
"121","fam-moeller.info",NA,"P02100","P"
"122","uetz.de",NA,"P02100","P"
"123","schmidtfamilie.de",NA,"P02100","P"
"124","familiemeissner.de",NA,"P02100","P"
"125","kruetzen.de",NA,"P02100","P"
"126","familieseng.de",NA,"P02100","P"
"127","habag.ch",NA,"P02100","P"
"128","bettker-zehren.de",NA,"P02100","P"
"129","von-knobloch.de",NA,"P02100","P"
"130","krone-soest.de",NA,"P02100","P"
"131","strickling.net",NA,"P02100","P"
"132","ute-und-frank-kiefer.de",NA,"P02100","P"
"133","edenhofer.org",NA,"P02100","P"
"134","pappelsee.com",NA,"P02100","P"
"135","behrens-hh.de",NA,"P02100","P"
"136","deesy.info",NA,"P03100","P"
"137","basieg.de",NA,"P03100","P"
"138","benking.de",NA,"P03100","P"
"139","brandmann.net",NA,"P03100","P"
"140","eike-fleer.de",NA,"P03100","P"
"141","linkarchiv.beepworld.de",NA,"P03100","P"
"142","szardien.de",NA,"P03100","P"
"143","bessereweltlinks.de",NA,"P03100","P"
"144","stummiforum.de",NA,"P04100","P"
"145","mercedes-ig.de",NA,"P04100","P"
"146","forum-gartenfreunde.de",NA,"P04100","P"
"147","linux-club.de",NA,"P04100","P"
"148","geoclub.de",NA,"P04100","P"
"149","cacheparadies.de",NA,"P04100","P"
"150","carrera-go.info",NA,"P04100","P"
"151","angeln-24.de",NA,"P04100","P"
"152","forum-haustiere.de",NA,"P04100","P"
"153","symphosius.de",NA,"P05100","P"
"154","lum-bi-ni.info",NA,"P05100","P"
"155","derpade.de",NA,"P05100","P"
"156","lum-bi-ni.info",NA,"P05100","P"
"157","vauban-segeln.de",NA,"P05100","P"
"158","jakobsweg-ab-frankfurt.de",NA,"P05100","P"
"159","round-the-world.at",NA,"P05100","P"
"160","vetter-mz.de",NA,"P05100","P"
"161","abenteuer-technik.de",NA,"P05100","P"
"162","silke-schlueter.de",NA,"P05100","P"
"163","an-plischie.de",NA,"P05100","P"
"164","bracco-italiano.net",NA,"P05100","P"
"165","riana.de",NA,"P05100","P"
"166","buening-h.de",NA,"P05100","P"
"167","snakesparadise.com",NA,"P05100","P"
"168","filmfuchs.de",NA,"P06100","P"
"169","wikipedalia.com",NA,"P06100","P"
"170","funkportal24.de",NA,"P06100","P"
"171","bscheer.de",NA,"P07100","P"
"172","ichrr.de",NA,"P07100","P"
"173","laenderfresser.de",NA,"P07100","P"
"174","gettoweb.de",NA,"P07100","P"
"175","d0wn.biz",NA,"P07100","P"
"176","weltreise.kebbel.de",NA,"P07100","P"
"177","kannekaffee.net",NA,"P07100","P"
"178","blog-b.info",NA,"P07100","P"
"179","blog.meyju.net",NA,"P07100","P"
"180","fun-runner.de",NA,"P07100","P"
"181","timoschindler.de",NA,"P07100","P"
"182","ritzelrechner.de",NA,"P08100","P"
"183","j-berkemeier.de",NA,"P08100","P"
"184","textancool.de",NA,"P08100","P"
"185","omega-gilde.de",NA,"P09100","P"
"186","golzmaas.de",NA,"P09100","P"
"187","die-machos.de",NA,"P09100","P"
"188","game-fusion.de",NA,"P09100","P"
"189","afd-clan.de",NA,"P09100","P"
"190","nexusgaming.de",NA,"P09100","P"
"191","iphone24.org",NA,"P07100","P"
"192","dirkgrosskopf.de",NA,"P11100","P"
"193","familie-wessling.de",NA,"P02100","P"
"194","die-machos.de",NA,"P09100","P"
"195","mschnitzler2000.de",NA,"P11100","P"
"196","it-blogger.net",NA,"P07100","P"
"197","rothzfrech.de",NA,"P02100","P"
"198","martin-kaempchen.com",NA,NA,"K"
"199","pc-biber.de",NA,"P11100","P"
"200","skydragon.de",NA,"P10100","P"
"201","liefeith.de",NA,"P11100","P"
"202","morgengestaltung.de",NA,"P07100","P"
"203","jaeger-oberursel.de",NA,"P02100","P"
"204","memoryland.de",NA,NA,"K"
"205","blogzeit39.de",NA,NA,"K"
"206","tt-fs.de",NA,"P09100","P"
"207","andressen-home.de",NA,"P05100","P"
"208","pappelsee.com",NA,"P02100","P"
"209","vettorazzi.de",NA,"P05100","P"
"210","bachhopfer.de",NA,"P05100","P"
"211","keiss.de",NA,"P01100","P"
"212","larsfrai.de",NA,"P02100","P"
"213","tief-im-see.de",NA,"P13100","P"
"214","technik-magazin.com",NA,"P05100","P"
"215","melauwe.de",NA,"P02100","P"
"216","keime-holzminden.de",NA,"P02100","P"
"217","kastebi.de",NA,"P04100","P"
"218","allmers.de",NA,"P11100","P"
"219","biogasgenerator.de",NA,NA,"K"
"220","roswitha-bechtel.de",NA,NA,"K"
"221","dannenberger.net",NA,"P02100","P"
"222","familie-wegner.net",NA,"P02100","P"
"223","flunra.de",NA,"P01100","P"
"224","achtung-aktie.de",NA,"P05100","P"
"225","tiedemaenner.de",NA,"P02100","P"
"226","herb-andress.de",NA,"P01100","P"
"227","leonardy-ab.de",NA,"P13100","P"
"228","kloesjes.de",NA,"P02100","P"
"229","sm-tripathi.de",NA,"P01100","P"
"230","ellrich-schumann.de",NA,"P01100","P"
"231","beuder.de",NA,"P11100","P"
"232","spinnertreff.de",NA,"P09100","P"
"233","matthiaslauer.com",NA,"P01100","P"
"234","uweexner.de",NA,"P13100","P"
"235","falki-design.ch",NA,"P07100","P"
"236","ia-design.de",NA,"P01100","P"
"237","stefanieundwilli.de",NA,"P02100","P"
"238","antuco.de",NA,"P13100","P"
"239","juergen-laubsch.de",NA,NA,"K"
"240","odomann.com",NA,"P05100","P"
"241","jo-buck.de",NA,"P01100","P"
"242","andypsilon.de",NA,"P07100","P"
"243","jschoener.de",NA,"P10100","P"
"244","pfg3d.de",NA,"P13100","P"
"245","manus-testwelt.de",NA,NA,"K"
"246","einfach-orange.de",NA,"P07100","P"
"247","kebbel.de",NA,"P07100","P"
"248","harry-kirsch.de",NA,"P01100","P"
"249","frank-probst.de",NA,"P02100","P"
"250","pfahl.org",NA,"P02100","P"
"251","steffen-wessnick.de",NA,"P05100","P"
"252","violetta-zhang.de",NA,"P05100","P"
"253","janberlin.de",NA,"P03100","P"
"254","round-the-world.at",NA,"P05100","P"
"255","feldstudie.net",NA,"P07100","P"
"256","legurp.de",NA,"P05100","P"
"257","lindnerfk.de",NA,"P05100","P"
"258","buchholz-calw.de",NA,"P02100","P"
"259","donndorf.net",NA,"P01100","P"
"260","schickentanz.net",NA,NA,"K"
"261","holger-melms.net",NA,"P10100","P"
"262","marco-kitzmann.de",NA,"P07100","P"
"263","michaelfuernschuss.at",NA,NA,"K"
"264","sieh-site.de",NA,"P02100","P"
"265","ch-mertins.de",NA,"P02100","P"
"266","muemi.de",NA,"P03100","P"
"267","konrad-der-spielmann.de",NA,"P01100","P"
"268","joerghuelsermann.de",NA,"P11100","P"
"269","familieheld.net",NA,"P13100","P"
"270","myshoppingblog.de",NA,NA,"K"
"271","andreas-stenzel.de",NA,"P10100","P"
"272","andreas-stenzel.de",NA,"P10100","P"
"273","christophtutorials.de",NA,"P05100","P"
"274","online-gruppentherapie.com",NA,NA,"K"
"275","huckonline.de",NA,"P02100","P"
"276","lifedays-seite.de",NA,"P11100","P"
"277","kagelmann.net",NA,"P11100","P"
"278","margenfeld.com",NA,"P01100","P"
"279","eisfeldweb.de",NA,"P10100","P"
"280","familielambertz.de",NA,"P02100","P"
"281","big-blogger.de",NA,NA,"K"
"282","xn--httenburger-thb.de",NA,"P09100","P"
"283","kannekaffee.net",NA,"P07100","P"
"284","uli-linse.de",NA,"P01100","P"
"285","bernutz.net",NA,"P02100","P"
"286","gerwig.at",NA,"P02100","P"
"287","kaserbacher.com",NA,"P11100","P"
"288","helmuthklotz.de",NA,"P10100","P"
"289","rysselchen.de",NA,"P10100","P"
"290","marock.de",NA,"P09100","P"
"291","allesroger.net",NA,"P01100","P"
"292","christian-vogelsang.net",NA,NA,"K"
"293","abelex.de",NA,"P02100","P"
"294","friederike-lange.de",NA,"P01100","P"
"295","dresden-cam.com",NA,"P05100","P"
"296","saving-volt.de",NA,NA,"K"
"297","saschahermes.de",NA,NA,"K"
"298","thomas-gehring.de",NA,"P11100","P"
"299","christian.kuehleis.de",NA,"P13100","P"
"300","philippnoller.de",NA,NA,"K"
"301","svenrunge.de",NA,"P01100","P"
"302","naturschutz-kleve.de",NA,"P05100","P"
"303","laufnotizen.twoday.net",NA,"P07100","P"
"304","smuntau.de",NA,"P01100","P"
"305","an-plischie.de",NA,"P05100","P"
"306","bodo-jeschke.de",NA,"P13100","P"
"307","relativitaetskritik.de",NA,"P13100","P"
"308","arnoniemuss.de",NA,"P01100","P"
"309","soulzeppel.in",NA,"P05100","P"
"310","alienenterprises.de",NA,NA,"K"
"311","arktis.antville.org",NA,"P11100","P"
"312","faehndrich.de",NA,"P02100","P"
"313","mawas.de",NA,"P11100","P"
"314","andreasernst.net",NA,"P05100","P"
"315","biemueller.com",NA,"P13100","P"
"316","joerg-mersch.de",NA,"P05100","P"
"317","tschauder.de",NA,"P11100","P"
"318","herbstreith.de",NA,"P02100","P"
"319","deinklick.de",NA,"P13100","P"
"320","kolmsee.net",NA,"P13100","P"
"321","schauplatz.org",NA,"P10100","P"
"322","horst-dertinger.de",NA,"P11100","P"
"323","springinsfeld.net",NA,"P05100","P"
"324","cosmann.net",NA,"P01100","P"
"325","4perfect.de",NA,"P05100","P"
"326","birtebredow.de",NA,"P05100","P"
"327","benno-kuppler.de",NA,"P13100","P"
"328","thomas-tackenberg.de",NA,"P01100","P"
"329","windischfamily.de",NA,"P02100","P"
"330","abenteuer-technik.de",NA,"P05100","P"
"331","alinarichter.de",NA,"P11100","P"
"332","andreas-peggy-reiner.de",NA,"P11100","P"
"333","flodji.de",NA,"K20020","K"
"334","murielle.de",NA,"P10100","P"
"335","fruchtigezwerge.de",NA,"P09100","P"
"336","familierohde.de",NA,"P02100","P"
"337","kargesclan.de",NA,"P02100","P"
"338","musikkritik-kritik.de",NA,"P05100","P"
"339","sduevel.de",NA,"P01100","P"
"340","krebs-familie.de",NA,"P02100","P"
"341","weide.de.com",NA,"P01100","P"
"342","tobias-kind.de",NA,"P11100","P"
"343","bausparbuddhajaegerzaun.blogspot.de",NA,"P07100","P"
"344","markus-vetter.de",NA,"P01100","P"
"345","drexhage-online.de",NA,"P02100","P"
"346","kerldd.com",NA,"P10100","P"
"347","norbertrausch.de",NA,"P01100","P"
"348","erik-nehring.de",NA,"P10100","P"
"349","heide-pinkall.de",NA,"K20020","K"
"350","sweet-goblin.de",NA,"P12100","P"
"351","hechtangst.de",NA,"K20020","K"
"352","hr-ws.de",NA,"K12000","K"
"353","dirkrossberg.de",NA,"P07100","P"
"354","t-rebell.de",NA,"P13100","P"
"355","ey-cool.com",NA,"P11100","P"
"356","neubarth.net",NA,"P13100","P"
"357","redoc.net",NA,"P13100","P"
"358","markuswick.de",NA,"P13100","P"
"359","osswald.com",NA,"P01100","P"
"360","martin-feldner.de",NA,NA,"K"
"361","martin-dilger.de",NA,"P11100","P"
"362","jaeger-oberursel.de",NA,"P02100","P"
"363","stumkat.de",NA,"P02100","P"
"364","kressner.info",NA,"P02100","P"
"365","eugenpopin.de",NA,"P02100","P"
"366","schiebler-online.de",NA,"P02100","P"
"367","steffen-sobe.de",NA,"P02100","P"
"368","steinerhans.ch",NA,"P02100","P"
"369","eiser.de",NA,"P11100","P"
"370","soccerkaan.hpage.de",NA,"N01210","N"
"371","grootensweb.de",NA,"P11100","P"
"372","geburtig-berlin.de",NA,"P02100","P"
"373","olafs.homepage.ms",NA,"P02100","P"
"374","markusoberender.de",NA,"P10100","P"
"375","christiannass.wordpress.com",NA,"P07100","P"
"376","ebenlechner.at",NA,NA,"K"
"377","scherello.de",NA,"P02100","P"
"378","unet.univie.ac.at/~a9603811",NA,"P03100","P"
"379","havel-web.de",NA,"P05100","P"
"380","tobias-hoderlein.de",NA,"P11100","P"
"381","litzkendorf.de",NA,NA,"K"
"382","bueral.de",NA,"P11100","P"
"383","schwambach.net",NA,"P01100","P"
"384","mathias-paege.de",NA,"P11100","P"
"385","vierneusel.de",NA,"P02100","P"
"386","jochen-stelzer.de",NA,"P07100","P"
"387","nelli-reger.de",NA,"P05100","P"
"388","purplemoon.ch/uribo",NA,"P01100","P"
"389","fiebrandt.de/edrt",NA,"P01100","P"
"390","smerling.de",NA,"P13100","P"
"391","radosuboff.de",NA,"P05100","P"
"392","wieser.ch",NA,"P02100","P"
"393","ple.ch",NA,"P05100","P"
"394","markus-sigrist.ch",NA,"P01100","P"
"395","jochen-mengel.de/index.htm",NA,"P10100","P"
"396","ghanayem.de",NA,"P11100","P"
"397","seppe.webseppster.net",NA,"P13100","P"
"398","wschirm.de",NA,"P11100","P"
"399","abc99.at",NA,"P05100","P"
"400","bernd-wurst.de",NA,"P13100","P"
"401","thomasrobbin.de",NA,NA,"K"
"402","members.aon.at/~ghaslehn",NA,NA,"K"
"403","manuelramseier.ch",NA,"P05100","P"
"404","hintermaier.com",NA,"P01100","P"
"405","panoma.gmxhome.de",NA,"P02100","P"
"406","feurstein.net",NA,NA,"K"
"407","nefkom.net/k.huether",NA,"P01100","P"
"408","gubi.li",NA,"P11100","P"
"409","wolfdj.de",NA,"P08100","P"
"410","geislar.de",NA,"P02100","P"
"411","original-storck.homepage.t-online.de",NA,"P02100","P"
"412","prangenberg.net",NA,"P02100","P"
"413","pyramidenweb.de",NA,"P11100","P"
"414","nassenstein.com",NA,"P11100","P"
"415","fritzsche-bellersheim.de",NA,"P11100","P"
"416","rlandolt.com",NA,"P01100","P"
"417","blumen-und-meer.de",NA,"P10100","P"
"418","thomas.hausmaninger.at",NA,"P01100","P"
"419","sebastian.olberding.at",NA,"P01100","P"
"420","eschen-bach.de",NA,"P02100","P"
"421","karstenjoedicke.de",NA,"P01100","P"
"422","hendrikelsner.de",NA,"P01100","P"
"423","bettina-aichinger.an-der-quelle.at",NA,"P01100","P"
"424","spiske.net",NA,"P01100","P"
"425","martin.fronczek.org",NA,"P06100","P"
"426","alexander-schott.de",NA,"P01100","P"
"427","hene.ch",NA,"P00000","P"
"428","florian-holik.de",NA,NA,"K"
"429","bruchpilot.org",NA,"P11100","P"
"430","oldbrush.de",NA,"P00000","P"
"431","muehlstein-online.com",NA,"P00000","P"
"432","klichs.de",NA,"P00000","P"
"433","superpixel.ch",NA,"P00000","P"
"434","schulzki-haddouti.de",NA,"P11100","P"
"435","avila.star-shine.ch",NA,"P00000","P"
"436","numal-tech.de",NA,"P11100","P"
"437","pernpeintner.net",NA,"P11100","P"
"438","mawe-woehren.de",NA,"P11100","P"
"439","habrik.com",NA,"P02100","P"
"440","danzeisen.ch",NA,"P02100","P"
"441","meidel.de",NA,"P02100","P"
"442","matthiashecht.de",NA,"P00000","P"
"443","members.aon.at/video-peperl",NA,"P00000","P"
"444","avol.de",NA,"P11100","P"
"445","franz-st.ch",NA,"P11100","P"
"446","salon-p.de",NA,"P11100","P"
"447","heimetli.ch/te.htm",NA,"P11100","P"
"448","hendrikgebert.de",NA,"P11100","P"
"449","quermania.de",NA,"P00000","P"
"450","dieayinger.de",NA,"P00000","P"
"451","kristina-malzahn.de",NA,"P00000","P"
"452","meisterburg.de",NA,"P00000","P"
"453","annatretter.de",NA,"P01100","P"
"454","dressler-home.de",NA,"P11100","P"
"455","uwekoestner.de",NA,"P11100","P"
"456","weiners-welt.de",NA,"P11100","P"
"457","mattinee.de",NA,"P10100","P"
"458","nobby-ka.de",NA,"P11100","P"
"459","deyerler.de",NA,"P02100","P"
"460","4haus.de",NA,"P11100","P"
"461","vrubach.de",NA,"P01100","P"
"462","franzlanfermann.de",NA,"P05100","P"
"463","poeschel.net",NA,"P11100","P"
"464","chez-evi.ch",NA,"P11100","P"
"465","deinklick.de",NA,"P11100","P"
"466","schimansky.eu",NA,"P02100","P"
"467","djstick.de",NA,NA,"K"
"468","pawek.com",NA,"P02100","P"
"469","monti.heimat.eu",NA,"P14100","P"
"470","wentsch.com",NA,"P00000","P"
"471","hj-ortjohann.de",NA,"P00000","P"
"472","jpk.ch",NA,"P00000","P"
"473","dietmar-anders.de",NA,"P14100","P"
"474","bieletzke.de",NA,"P14100","P"
"475","schlack.info",NA,"P14100","P"
"476","marcuswitter.de",NA,"P14100","P"
"477","suemnick.de",NA,"P14100","P"
"478","bueskens-online.de",NA,"P00000","P"
"479","stephan-lengede.de",NA,"P11100","P"
"480","aistleitner.net",NA,"P00000","P"
"481","christian-baretti.de",NA,"P01100","P"
"482","members.aon.at/smart.meter.nei",NA,"P00000","P"
"483","jottkaell.de",NA,"P11100","P"
"484","hfg-karlsruhe.de/%7Ehklinke",NA,"P00000","P"
"485","sijben.de/dexter",NA,"P05100","P"
"486","zeljko.org",NA,"P01100","P"
"487","falk-net.de",NA,"P05100","P"
"488","holzi-freiburg.de",NA,"P11100","P"
"489","stastka.ch",NA,"P11100","P"
"490","breaky.de",NA,"P11100","P"
"491","martin-heidenreich.com",NA,"P11100","P"
"492","new.matthias-kueffner.de",NA,"P11100","P"
"493","stephan-ackerschott.de",NA,"P11100","P"
"494","bhattiabdulghafoor.de",NA,"P05100","P"
"495","kaheti.de",NA,"P11100","P"
"496","alexanderoettgen.de",NA,"P11100","P"
"497","raegi.ch",NA,"P11100","P"
"498","gregor-jonas.de",NA,"P14100","P"
"499","ressel.de",NA,"P14100","P"
"500","marc-naether.de",NA,"P14100","P"
"501","carmen-maria-ebenhoch.de",NA,"P14100","P"
"502","christian-gericke.de",NA,"P14100","P"
"503","bickmann.org",NA,"P14100","P"
"504","finanzberatung-versicherungsvergleiche.de/privat",NA,"P14100","P"
"505","joachim-nacken.de",NA,"P14100","P"
"506","riemann-greifenberg.de",NA,"P14100","P"
"507","radons.de",NA,"P14100","P"
"508","schadwill.net",NA,"P14100","P"
"509","thomas.emden-weinert.de",NA,"P14100","P"
"510","lehrer.bulme.at/~bn",NA,"P14100","P"
"511","andreas.jokerwerbung.de",NA,"P14100","P"
"512","qljo.de",NA,"P14100","P"
"513","klausrohwer.de",NA,"P14100","P"
"514","gallas.info",NA,"P00000","P"
"515","walorska.net",NA,"P00000","P"
"516","hartmut-kuerschner.de",NA,"P11100","P"
"517","fdoernenburg.de",NA,"P00000","P"
"518","vorhauer.homepage.t-online.de",NA,"P00000","P"
"519","clemens-fricke.de",NA,"P00000","P"
"520","richterich-online.de",NA,"P00000","P"
"521","home.datacomm.ch/hbloch",NA,"P00000","P"
"522","herwartz-titz.de",NA,"P02100","P"
"523","frahm.name",NA,"P05100","P"
"524","hardwareworld.ch/users/gueh",NA,"P00000","P"
"525","gelahh.de",NA,"P00000","P"
"526","kautty.de",NA,"P00000","P"
"527","wellnet.org",NA,"P11100","P"
"528","wde.de",NA,"P11100","P"
"529","klaus-schmidts.de",NA,"P11100","P"
"530","grinis.de",NA,"P11100","P"
"531","schaltungs-design.de",NA,"P01100","P"
"532","home.versanet.de/%7Eto-886125",NA,"P01100","P"
"533","uwe-fiedler.name/frank-fiedler.htm",NA,"P00000","P"
"534","strohhutbu.de",NA,"P00000","P"
"535","marion-nosbuesch.de",NA,"P00000","P"
"536","duckhome.net/tb",NA,"P00000","P"
"537","kuehnlein.info",NA,"P14100","P"
"538","pumpnet.de",NA,"P00000","P"
"539","beinke.de",NA,"P00000","P"
"540","loisl.de",NA,"P00000","P"
"541","stargardt-group.de",NA,"P00000","P"
"542","vaovaoweb.de",NA,"P00000","P"
"543","siekmann-net.de",NA,"P00000","P"
"544","michael.nahrath.de",NA,"P00000","P"
"545","lukasanrig.ch",NA,"P00000","P"
"546","clausjuergens.com",NA,"P00000","P"
"547","rausseck.de",NA,"P00000","P"
"548","numrich.ch",NA,"P02100","P"
"549","elron-tibor.de",NA,"P05100","P"
"550","i-zeitz.de",NA,"P12100","P"
"551","thomas-wenz.homepage.t-online.de",NA,"P00000","P"
"552","zwillinge-berlin.de",NA,"P05100","P"
"553","christiankress.de",NA,"P00000","P"
"554","mathias-holzwarth.de",NA,"P10100","P"
"555","members.chello.at/sluka",NA,"P11100","P"
"556","mayr-1.de",NA,"P12100","P"
"557","marieta.de",NA,"P10100","P"
"558","scheicht.de",NA,"P11100","P"
"559","andressen-home.de",NA,"P00000","P"
"560","josef-baumer.de",NA,"P00000","P"
"561","cuiper.de",NA,"P00000","P"
"562","sascha-borgers.de",NA,"P00000","P"
"563","garv.in",NA,"P11100","P"
"564","weixlbaumer.com",NA,"K23000","K"
"565","toenjes-web.de",NA,"P00000","P"
"566","judithwaelti.net",NA,"P00000","P"
"567","gjantzen.de",NA,"P10100","P"
"568","simonhitzenberger.de",NA,"P13100","P"
"569","marcobomio.ch",NA,"P00000","P"
"570","odin.homeip.net",NA,"P10100","P"
"571","gasmi.gmxhome.de",NA,"P00000","P"
"572","lewerentz.de",NA,"P00000","P"
"573","korzen.de",NA,"P00000","P"
"574","familie-schein.de",NA,"P10100","P"
"575","andyweller.de",NA,"P00000","P"
"576","garscha.de",NA,"P00000","P"
"577","zanatta.ch",NA,"P00000","P"
"578","kheim.info",NA,"P00000","P"
"579","nefkom.net/kosch",NA,"P00000","P"
"580","members.chello.at/laussner",NA,"P00000","P"
"581","heilsbeste.de",NA,"P00000","P"
"582","denkler.com",NA,"P00000","P"
"583","weitprecht.de",NA,"P00000","P"
"584","gartze.de",NA,"P00000","P"
"585","christianstoerger.gmxhome.de",NA,"P00000","P"
"586","mariok13359.gmxhome.de/mario/mario/1024/index24.ht",NA,"P00000","P"
"587","nollek-online.de",NA,"P00000","P"
"588","bh-home.de",NA,"P00000","P"
"589","schnuckolinos.de",NA,"P00000","P"
"590","flowrean.de",NA,"P00000","P"
"591","kuennemann-family.de",NA,"P00000","P"
"592","rudi-franze.de",NA,"P00000","P"
"593","rayaan.de",NA,"P00000","P"
"594","ploetz3000.de",NA,"P00000","P"
"595","np-mediendesign.de",NA,"P00000","P"
"596","ehricke.mynetcologne.de",NA,"P00000","P"
"597","allmers.de",NA,"P00000","P"
"598","dunklesauge.de",NA,"P00000","P"
"599","wensorra.de",NA,"P00000","P"
"600","hape-osswald.de",NA,"P00000","P"
"601","7steps.de",NA,"P00000","P"
"602","jschauer.de",NA,"P00000","P"
"603","waltersoligon.de",NA,"P00000","P"
"604","thestorff.de",NA,"P10100","P"
"605","frieda.li",NA,"P10100","P"
"606","filbig.de",NA,"P10100","P"
"607","abelex.de",NA,"P10100","P"
