"","X","domain","tote_seite","catkey","category"
"155",156,"lum-bi-ni.info",NA,"P05100","P"
"156",157,"vauban-segeln.de",NA,"P05100","P"
"157",158,"jakobsweg-ab-frankfurt.de",NA,"P05100","P"
"158",159,"round-the-world.at",NA,"P05100","P"
"159",160,"vetter-mz.de",NA,"P05100","P"
"160",161,"abenteuer-technik.de",NA,"P05100","P"
"161",162,"silke-schlueter.de",NA,"P05100","P"
"162",163,"an-plischie.de",NA,"P05100","P"
"163",164,"bracco-italiano.net",NA,"P05100","P"
"164",165,"riana.de",NA,"P05100","P"
"165",166,"buening-h.de",NA,"P05100","P"
"166",167,"snakesparadise.com",NA,"P05100","P"
"167",168,"filmfuchs.de",NA,"P06100","P"
"168",169,"wikipedalia.com",NA,"P06100","P"
"169",170,"funkportal24.de",NA,"P06100","P"
"170",171,"bscheer.de",NA,"P07100","P"
"171",172,"ichrr.de",NA,"P07100","P"
"172",173,"laenderfresser.de",NA,"P07100","P"
"173",174,"gettoweb.de",NA,"P07100","P"
"174",175,"d0wn.biz",NA,"P07100","P"
"175",176,"weltreise.kebbel.de",NA,"P07100","P"
"176",177,"kannekaffee.net",NA,"P07100","P"
"177",178,"blog-b.info",NA,"P07100","P"
"178",179,"blog.meyju.net",NA,"P07100","P"
"179",180,"fun-runner.de",NA,"P07100","P"
"180",181,"timoschindler.de",NA,"P07100","P"
"181",182,"ritzelrechner.de",NA,"P08100","P"
"182",183,"j-berkemeier.de",NA,"P08100","P"
"183",184,"textancool.de",NA,"P08100","P"
"184",185,"omega-gilde.de",NA,"P09100","P"
"185",186,"golzmaas.de",NA,"P09100","P"
"186",187,"die-machos.de",NA,"P09100","P"
"187",188,"game-fusion.de",NA,"P09100","P"
"188",189,"afd-clan.de",NA,"P09100","P"
"189",190,"nexusgaming.de",NA,"P09100","P"
"190",191,"iphone24.org",NA,"P07100","P"
"191",192,"dirkgrosskopf.de",NA,"P11100","P"
"192",193,"familie-wessling.de",NA,"P02100","P"
"193",194,"die-machos.de",NA,"P09100","P"
"194",195,"mschnitzler2000.de",NA,"P11100","P"
"195",196,"it-blogger.net",NA,"P07100","P"
"196",197,"rothzfrech.de",NA,"P02100","P"
"197",198,"martin-kaempchen.com",NA,NA,"K"
"198",199,"pc-biber.de",NA,"P11100","P"
"199",200,"skydragon.de",NA,"P10100","P"
"200",201,"liefeith.de",NA,"P11100","P"
"201",202,"morgengestaltung.de",NA,"P07100","P"
"202",203,"jaeger-oberursel.de",NA,"P02100","P"
"203",204,"memoryland.de",NA,NA,"K"
"204",205,"blogzeit39.de",NA,NA,"K"
"205",206,"tt-fs.de",NA,"P09100","P"
"206",207,"andressen-home.de",NA,"P05100","P"
"207",208,"pappelsee.com",NA,"P02100","P"
"208",209,"vettorazzi.de",NA,"P05100","P"
"209",210,"bachhopfer.de",NA,"P05100","P"
"210",211,"keiss.de",NA,"P01100","P"
"211",212,"larsfrai.de",NA,"P02100","P"
"212",213,"tief-im-see.de",NA,"P13100","P"
"213",214,"technik-magazin.com",NA,"P05100","P"
"214",215,"melauwe.de",NA,"P02100","P"
"215",216,"keime-holzminden.de",NA,"P02100","P"
"216",217,"kastebi.de",NA,"P04100","P"
"217",218,"allmers.de",NA,"P11100","P"
"218",219,"biogasgenerator.de",NA,NA,"K"
"219",220,"roswitha-bechtel.de",NA,NA,"K"
"220",221,"dannenberger.net",NA,"P02100","P"
"221",222,"familie-wegner.net",NA,"P02100","P"
"222",223,"flunra.de",NA,"P01100","P"
"223",224,"achtung-aktie.de",NA,"P05100","P"
"224",225,"tiedemaenner.de",NA,"P02100","P"
"225",226,"herb-andress.de",NA,"P01100","P"
"226",227,"leonardy-ab.de",NA,"P13100","P"
"227",228,"kloesjes.de",NA,"P02100","P"
"228",229,"sm-tripathi.de",NA,"P01100","P"
"229",230,"ellrich-schumann.de",NA,"P01100","P"
"230",231,"beuder.de",NA,"P11100","P"
"231",232,"spinnertreff.de",NA,"P09100","P"
"232",233,"matthiaslauer.com",NA,"P01100","P"
"233",234,"uweexner.de",NA,"P13100","P"
"234",235,"falki-design.ch",NA,"P07100","P"
"235",236,"ia-design.de",NA,"P01100","P"
"236",237,"stefanieundwilli.de",NA,"P02100","P"
"237",238,"antuco.de",NA,"P13100","P"
"238",239,"juergen-laubsch.de",NA,NA,"K"
"239",240,"odomann.com",NA,"P05100","P"
"240",241,"jo-buck.de",NA,"P01100","P"
"241",242,"andypsilon.de",NA,"P07100","P"
"242",243,"jschoener.de",NA,"P10100","P"
"243",244,"pfg3d.de",NA,"P13100","P"
"244",245,"manus-testwelt.de",NA,NA,"K"
"245",246,"einfach-orange.de",NA,"P07100","P"
"246",247,"kebbel.de",NA,"P07100","P"
"247",248,"harry-kirsch.de",NA,"P01100","P"
"248",249,"frank-probst.de",NA,"P02100","P"
"249",250,"pfahl.org",NA,"P02100","P"
"250",251,"steffen-wessnick.de",NA,"P05100","P"
"251",252,"violetta-zhang.de",NA,"P05100","P"
"252",253,"janberlin.de",NA,"P03100","P"
"253",254,"round-the-world.at",NA,"P05100","P"
"254",255,"feldstudie.net",NA,"P07100","P"
"255",256,"legurp.de",NA,"P05100","P"
"256",257,"lindnerfk.de",NA,"P05100","P"
"257",258,"buchholz-calw.de",NA,"P02100","P"
"258",259,"donndorf.net",NA,"P01100","P"
"259",260,"schickentanz.net",NA,NA,"K"
"260",261,"holger-melms.net",NA,"P10100","P"
"261",262,"marco-kitzmann.de",NA,"P07100","P"
"262",263,"michaelfuernschuss.at",NA,NA,"K"
"263",264,"sieh-site.de",NA,"P02100","P"
"264",265,"ch-mertins.de",NA,"P02100","P"
"265",266,"muemi.de",NA,"P03100","P"
"266",267,"konrad-der-spielmann.de",NA,"P01100","P"
"267",268,"joerghuelsermann.de",NA,"P11100","P"
"268",269,"familieheld.net",NA,"P13100","P"
"269",270,"myshoppingblog.de",NA,NA,"K"
"270",271,"andreas-stenzel.de",NA,"P10100","P"
"271",272,"andreas-stenzel.de",NA,"P10100","P"
"272",273,"christophtutorials.de",NA,"P05100","P"
"273",274,"online-gruppentherapie.com",NA,NA,"K"
"274",275,"huckonline.de",NA,"P02100","P"
"275",276,"lifedays-seite.de",NA,"P11100","P"
"276",277,"kagelmann.net",NA,"P11100","P"
"277",278,"margenfeld.com",NA,"P01100","P"
"278",279,"eisfeldweb.de",NA,"P10100","P"
"279",280,"familielambertz.de",NA,"P02100","P"
"280",281,"big-blogger.de",NA,NA,"K"
"281",282,"xn--httenburger-thb.de",NA,"P09100","P"
"282",283,"kannekaffee.net",NA,"P07100","P"
"283",284,"uli-linse.de",NA,"P01100","P"
"284",285,"bernutz.net",NA,"P02100","P"
"285",286,"gerwig.at",NA,"P02100","P"
"286",287,"kaserbacher.com",NA,"P11100","P"
"287",288,"helmuthklotz.de",NA,"P10100","P"
"288",289,"rysselchen.de",NA,"P10100","P"
"289",290,"marock.de",NA,"P09100","P"
"290",291,"allesroger.net",NA,"P01100","P"
"291",292,"christian-vogelsang.net",NA,NA,"K"
"292",293,"abelex.de",NA,"P02100","P"
"293",294,"friederike-lange.de",NA,"P01100","P"
"294",295,"dresden-cam.com",NA,"P05100","P"
"295",296,"saving-volt.de",NA,NA,"K"
"296",297,"saschahermes.de",NA,NA,"K"
"297",298,"thomas-gehring.de",NA,"P11100","P"
"298",299,"christian.kuehleis.de",NA,"P13100","P"
"299",300,"philippnoller.de",NA,NA,"K"
"300",301,"svenrunge.de",NA,"P01100","P"
"301",302,"naturschutz-kleve.de",NA,"P05100","P"
"302",303,"laufnotizen.twoday.net",NA,"P07100","P"
"303",304,"smuntau.de",NA,"P01100","P"
"304",305,"an-plischie.de",NA,"P05100","P"
"305",306,"bodo-jeschke.de",NA,"P13100","P"
"306",307,"relativitaetskritik.de",NA,"P13100","P"
"307",308,"arnoniemuss.de",NA,"P01100","P"
"308",309,"soulzeppel.in",NA,"P05100","P"
"309",310,"alienenterprises.de",NA,NA,"K"
"310",311,"arktis.antville.org",NA,"P11100","P"
"311",312,"faehndrich.de",NA,"P02100","P"
"312",313,"mawas.de",NA,"P11100","P"
"313",314,"andreasernst.net",NA,"P05100","P"
"314",315,"biemueller.com",NA,"P13100","P"
"315",316,"joerg-mersch.de",NA,"P05100","P"
"316",317,"tschauder.de",NA,"P11100","P"
"317",318,"herbstreith.de",NA,"P02100","P"
"318",319,"deinklick.de",NA,"P13100","P"
"319",320,"kolmsee.net",NA,"P13100","P"
"320",321,"schauplatz.org",NA,"P10100","P"
"321",322,"horst-dertinger.de",NA,"P11100","P"
"322",323,"springinsfeld.net",NA,"P05100","P"
"323",324,"cosmann.net",NA,"P01100","P"
"324",325,"4perfect.de",NA,"P05100","P"
"325",326,"birtebredow.de",NA,"P05100","P"
"326",327,"benno-kuppler.de",NA,"P13100","P"
"327",328,"thomas-tackenberg.de",NA,"P01100","P"
"328",329,"windischfamily.de",NA,"P02100","P"
"329",330,"abenteuer-technik.de",NA,"P05100","P"
"330",331,"alinarichter.de",NA,"P11100","P"
"331",332,"andreas-peggy-reiner.de",NA,"P11100","P"
"332",333,"flodji.de",NA,"K20020","K"
"333",334,"murielle.de",NA,"P10100","P"
"334",335,"fruchtigezwerge.de",NA,"P09100","P"
"335",336,"familierohde.de",NA,"P02100","P"
"336",337,"kargesclan.de",NA,"P02100","P"
"337",338,"musikkritik-kritik.de",NA,"P05100","P"
"338",339,"sduevel.de",NA,"P01100","P"
"339",340,"krebs-familie.de",NA,"P02100","P"
"340",341,"weide.de.com",NA,"P01100","P"
"341",342,"tobias-kind.de",NA,"P11100","P"
"342",343,"bausparbuddhajaegerzaun.blogspot.de",NA,"P07100","P"
"343",344,"markus-vetter.de",NA,"P01100","P"
"344",345,"drexhage-online.de",NA,"P02100","P"
"345",346,"kerldd.com",NA,"P10100","P"
"346",347,"norbertrausch.de",NA,"P01100","P"
"347",348,"erik-nehring.de",NA,"P10100","P"
"348",349,"heide-pinkall.de",NA,"K20020","K"
"349",350,"sweet-goblin.de",NA,"P12100","P"
"350",351,"hechtangst.de",NA,"K20020","K"
"351",352,"hr-ws.de",NA,"K12000","K"
"352",353,"dirkrossberg.de",NA,"P07100","P"
"353",354,"t-rebell.de",NA,"P13100","P"
"354",355,"ey-cool.com",NA,"P11100","P"
"355",356,"neubarth.net",NA,"P13100","P"
"356",357,"redoc.net",NA,"P13100","P"
"357",358,"markuswick.de",NA,"P13100","P"
"358",359,"osswald.com",NA,"P01100","P"
"359",360,"martin-feldner.de",NA,NA,"K"
"360",361,"martin-dilger.de",NA,"P11100","P"
"361",362,"jaeger-oberursel.de",NA,"P02100","P"
"362",363,"stumkat.de",NA,"P02100","P"
"363",364,"kressner.info",NA,"P02100","P"
"364",365,"eugenpopin.de",NA,"P02100","P"
"365",366,"schiebler-online.de",NA,"P02100","P"
"366",367,"steffen-sobe.de",NA,"P02100","P"
"367",368,"steinerhans.ch",NA,"P02100","P"
"368",369,"eiser.de",NA,"P11100","P"
"369",370,"soccerkaan.hpage.de",NA,"N01210","N"
"370",371,"grootensweb.de",NA,"P11100","P"
"371",372,"geburtig-berlin.de",NA,"P02100","P"
"372",373,"olafs.homepage.ms",NA,"P02100","P"
"373",374,"markusoberender.de",NA,"P10100","P"
"374",375,"christiannass.wordpress.com",NA,"P07100","P"
"375",376,"ebenlechner.at",NA,NA,"K"
"376",377,"scherello.de",NA,"P02100","P"
"377",378,"unet.univie.ac.at/~a9603811",NA,"P03100","P"
"378",379,"havel-web.de",NA,"P05100","P"
"379",380,"tobias-hoderlein.de",NA,"P11100","P"
"380",381,"litzkendorf.de",NA,NA,"K"
"381",382,"bueral.de",NA,"P11100","P"
"382",383,"schwambach.net",NA,"P01100","P"
"383",384,"mathias-paege.de",NA,"P11100","P"
"384",385,"vierneusel.de",NA,"P02100","P"
"385",386,"jochen-stelzer.de",NA,"P07100","P"
"386",387,"nelli-reger.de",NA,"P05100","P"
"387",388,"purplemoon.ch/uribo",NA,"P01100","P"
"388",389,"fiebrandt.de/edrt",NA,"P01100","P"
"389",390,"smerling.de",NA,"P13100","P"
"390",391,"radosuboff.de",NA,"P05100","P"
"391",392,"wieser.ch",NA,"P02100","P"
"392",393,"ple.ch",NA,"P05100","P"
"393",394,"markus-sigrist.ch",NA,"P01100","P"
"394",395,"jochen-mengel.de/index.htm",NA,"P10100","P"
"395",396,"ghanayem.de",NA,"P11100","P"
"396",397,"seppe.webseppster.net",NA,"P13100","P"
"397",398,"wschirm.de",NA,"P11100","P"
"398",399,"abc99.at",NA,"P05100","P"
"399",400,"bernd-wurst.de",NA,"P13100","P"
"400",401,"thomasrobbin.de",NA,NA,"K"
"401",402,"members.aon.at/~ghaslehn",NA,NA,"K"
"402",403,"manuelramseier.ch",NA,"P05100","P"
"403",404,"hintermaier.com",NA,"P01100","P"
"404",405,"panoma.gmxhome.de",NA,"P02100","P"
"405",406,"feurstein.net",NA,NA,"K"
"406",407,"nefkom.net/k.huether",NA,"P01100","P"
"407",408,"gubi.li",NA,"P11100","P"
"408",409,"wolfdj.de",NA,"P08100","P"
"409",410,"geislar.de",NA,"P02100","P"
"410",411,"original-storck.homepage.t-online.de",NA,"P02100","P"
"411",412,"prangenberg.net",NA,"P02100","P"
"412",413,"pyramidenweb.de",NA,"P11100","P"
"413",414,"nassenstein.com",NA,"P11100","P"
"414",415,"fritzsche-bellersheim.de",NA,"P11100","P"
"415",416,"rlandolt.com",NA,"P01100","P"
"416",417,"blumen-und-meer.de",NA,"P10100","P"
"417",418,"thomas.hausmaninger.at",NA,"P01100","P"
"418",419,"sebastian.olberding.at",NA,"P01100","P"
"419",420,"eschen-bach.de",NA,"P02100","P"
"420",421,"karstenjoedicke.de",NA,"P01100","P"
"421",422,"hendrikelsner.de",NA,"P01100","P"
"422",423,"bettina-aichinger.an-der-quelle.at",NA,"P01100","P"
"423",424,"spiske.net",NA,"P01100","P"
"424",425,"martin.fronczek.org",NA,"P06100","P"
"425",426,"alexander-schott.de",NA,"P01100","P"
"426",427,"hene.ch",NA,"P00000","P"
"427",428,"florian-holik.de",NA,NA,"K"
"428",429,"bruchpilot.org",NA,"P11100","P"
"429",430,"oldbrush.de",NA,"P00000","P"
"430",431,"muehlstein-online.com",NA,"P00000","P"
"431",432,"klichs.de",NA,"P00000","P"
"432",433,"superpixel.ch",NA,"P00000","P"
"433",434,"schulzki-haddouti.de",NA,"P11100","P"
"434",435,"avila.star-shine.ch",NA,"P00000","P"
"435",436,"numal-tech.de",NA,"P11100","P"
"436",437,"pernpeintner.net",NA,"P11100","P"
"437",438,"mawe-woehren.de",NA,"P11100","P"
"438",439,"habrik.com",NA,"P02100","P"
"439",440,"danzeisen.ch",NA,"P02100","P"
"440",441,"meidel.de",NA,"P02100","P"
"441",442,"matthiashecht.de",NA,"P00000","P"
"442",443,"members.aon.at/video-peperl",NA,"P00000","P"
"443",444,"avol.de",NA,"P11100","P"
"444",445,"franz-st.ch",NA,"P11100","P"
"445",446,"salon-p.de",NA,"P11100","P"
"446",447,"heimetli.ch/te.htm",NA,"P11100","P"
"447",448,"hendrikgebert.de",NA,"P11100","P"
"448",449,"quermania.de",NA,"P00000","P"
"449",450,"dieayinger.de",NA,"P00000","P"
"450",451,"kristina-malzahn.de",NA,"P00000","P"
"451",452,"meisterburg.de",NA,"P00000","P"
"452",453,"annatretter.de",NA,"P01100","P"
"453",454,"dressler-home.de",NA,"P11100","P"
"454",455,"uwekoestner.de",NA,"P11100","P"
"455",456,"weiners-welt.de",NA,"P11100","P"
"456",457,"mattinee.de",NA,"P10100","P"
"457",458,"nobby-ka.de",NA,"P11100","P"
"458",459,"deyerler.de",NA,"P02100","P"
"459",460,"4haus.de",NA,"P11100","P"
"460",461,"vrubach.de",NA,"P01100","P"
"461",462,"franzlanfermann.de",NA,"P05100","P"
"462",463,"poeschel.net",NA,"P11100","P"
"463",464,"chez-evi.ch",NA,"P11100","P"
"464",465,"deinklick.de",NA,"P11100","P"
"465",466,"schimansky.eu",NA,"P02100","P"
"466",467,"djstick.de",NA,NA,"K"
"467",468,"pawek.com",NA,"P02100","P"
"468",469,"monti.heimat.eu",NA,"P14100","P"
"469",470,"wentsch.com",NA,"P00000","P"
"470",471,"hj-ortjohann.de",NA,"P00000","P"
"471",472,"jpk.ch",NA,"P00000","P"
"472",473,"dietmar-anders.de",NA,"P14100","P"
"473",474,"bieletzke.de",NA,"P14100","P"
"474",475,"schlack.info",NA,"P14100","P"
"475",476,"marcuswitter.de",NA,"P14100","P"
"476",477,"suemnick.de",NA,"P14100","P"
"477",478,"bueskens-online.de",NA,"P00000","P"
"478",479,"stephan-lengede.de",NA,"P11100","P"
"479",480,"aistleitner.net",NA,"P00000","P"
"480",481,"christian-baretti.de",NA,"P01100","P"
"481",482,"members.aon.at/smart.meter.nei",NA,"P00000","P"
"482",483,"jottkaell.de",NA,"P11100","P"
"483",484,"hfg-karlsruhe.de/%7Ehklinke",NA,"P00000","P"
"484",485,"sijben.de/dexter",NA,"P05100","P"
"485",486,"zeljko.org",NA,"P01100","P"
"486",487,"falk-net.de",NA,"P05100","P"
"487",488,"holzi-freiburg.de",NA,"P11100","P"
"488",489,"stastka.ch",NA,"P11100","P"
"489",490,"breaky.de",NA,"P11100","P"
"490",491,"martin-heidenreich.com",NA,"P11100","P"
"491",492,"new.matthias-kueffner.de",NA,"P11100","P"
"492",493,"stephan-ackerschott.de",NA,"P11100","P"
"493",494,"bhattiabdulghafoor.de",NA,"P05100","P"
"494",495,"kaheti.de",NA,"P11100","P"
"495",496,"alexanderoettgen.de",NA,"P11100","P"
"496",497,"raegi.ch",NA,"P11100","P"
"497",498,"gregor-jonas.de",NA,"P14100","P"
"498",499,"ressel.de",NA,"P14100","P"
"499",500,"marc-naether.de",NA,"P14100","P"
"500",501,"carmen-maria-ebenhoch.de",NA,"P14100","P"
"501",502,"christian-gericke.de",NA,"P14100","P"
"502",503,"bickmann.org",NA,"P14100","P"
"503",504,"finanzberatung-versicherungsvergleiche.de/privat",NA,"P14100","P"
"504",505,"joachim-nacken.de",NA,"P14100","P"
"505",506,"riemann-greifenberg.de",NA,"P14100","P"
"506",507,"radons.de",NA,"P14100","P"
"507",508,"schadwill.net",NA,"P14100","P"
"508",509,"thomas.emden-weinert.de",NA,"P14100","P"
"509",510,"lehrer.bulme.at/~bn",NA,"P14100","P"
"510",511,"andreas.jokerwerbung.de",NA,"P14100","P"
"511",512,"qljo.de",NA,"P14100","P"
"512",513,"klausrohwer.de",NA,"P14100","P"
"513",514,"gallas.info",NA,"P00000","P"
"514",515,"walorska.net",NA,"P00000","P"
"515",516,"hartmut-kuerschner.de",NA,"P11100","P"
"516",517,"fdoernenburg.de",NA,"P00000","P"
"517",518,"vorhauer.homepage.t-online.de",NA,"P00000","P"
"518",519,"clemens-fricke.de",NA,"P00000","P"
"519",520,"richterich-online.de",NA,"P00000","P"
"520",521,"home.datacomm.ch/hbloch",NA,"P00000","P"
"521",522,"herwartz-titz.de",NA,"P02100","P"
"522",523,"frahm.name",NA,"P05100","P"
"523",524,"hardwareworld.ch/users/gueh",NA,"P00000","P"
"524",525,"gelahh.de",NA,"P00000","P"
"525",526,"kautty.de",NA,"P00000","P"
"526",527,"wellnet.org",NA,"P11100","P"
"527",528,"wde.de",NA,"P11100","P"
"528",529,"klaus-schmidts.de",NA,"P11100","P"
"529",530,"grinis.de",NA,"P11100","P"
"530",531,"schaltungs-design.de",NA,"P01100","P"
"531",532,"home.versanet.de/%7Eto-886125",NA,"P01100","P"
"532",533,"uwe-fiedler.name/frank-fiedler.htm",NA,"P00000","P"
"533",534,"strohhutbu.de",NA,"P00000","P"
"534",535,"marion-nosbuesch.de",NA,"P00000","P"
"535",536,"duckhome.net/tb",NA,"P00000","P"
"536",537,"kuehnlein.info",NA,"P14100","P"
